x y t s
0.602187 40.698495 "2022-12-26 08:27:13+00:00" 1
0.602252 40.698468 "2022-12-26 08:27:14+00:00" 1
0.602252 40.698468 "2022-12-26 08:27:14+00:00" 1
0.602318 40.698445 "2022-12-26 08:27:15+00:00" 1
0.602318 40.698445 "2022-12-26 08:27:15+00:00" 1
0.602386 40.698418 "2022-12-26 08:27:16+00:00" 1
0.602386 40.698418 "2022-12-26 08:27:16+00:00" 1
0.602455 40.698397 "2022-12-26 08:27:17+00:00" 1
0.602455 40.698397 "2022-12-26 08:27:17+00:00" 1
0.602522 40.698373 "2022-12-26 08:27:18+00:00" 1
0.602522 40.698373 "2022-12-26 08:27:18+00:00" 1
0.602593 40.698347 "2022-12-26 08:27:19+00:00" 1
0.602593 40.698347 "2022-12-26 08:27:19+00:00" 1
0.602659 40.698321 "2022-12-26 08:27:20+00:00" 1
0.602659 40.698321 "2022-12-26 08:27:20+00:00" 1
0.60273 40.698302 "2022-12-26 08:27:21+00:00" 1
0.60273 40.698302 "2022-12-26 08:27:21+00:00" 1
0.602801 40.698277 "2022-12-26 08:27:22+00:00" 1
0.602801 40.698277 "2022-12-26 08:27:22+00:00" 1
0.602867 40.698251 "2022-12-26 08:27:23+00:00" 1
0.602867 40.698251 "2022-12-26 08:27:23+00:00" 1
0.60293 40.698229 "2022-12-26 08:27:24+00:00" 1
0.60293 40.698229 "2022-12-26 08:27:24+00:00" 1
0.602998 40.698206 "2022-12-26 08:27:25+00:00" 1
0.602998 40.698206 "2022-12-26 08:27:25+00:00" 1
0.603061 40.698182 "2022-12-26 08:27:26+00:00" 1
0.603061 40.698182 "2022-12-26 08:27:26+00:00" 1
0.60313 40.698161 "2022-12-26 08:27:27+00:00" 1
0.60313 40.698161 "2022-12-26 08:27:27+00:00" 1
0.603196 40.698139 "2022-12-26 08:27:28+00:00" 1
0.603196 40.698139 "2022-12-26 08:27:28+00:00" 1
0.603265 40.698106 "2022-12-26 08:27:29+00:00" 1
0.603265 40.698106 "2022-12-26 08:27:29+00:00" 1
0.603337 40.698083 "2022-12-26 08:27:30+00:00" 1
0.603337 40.698083 "2022-12-26 08:27:30+00:00" 1
0.603403 40.698059 "2022-12-26 08:27:31+00:00" 1
0.603403 40.698059 "2022-12-26 08:27:31+00:00" 1
0.60347 40.698036 "2022-12-26 08:27:32+00:00" 1
0.60347 40.698036 "2022-12-26 08:27:32+00:00" 1
0.603536 40.698007 "2022-12-26 08:27:33+00:00" 1
0.603536 40.698007 "2022-12-26 08:27:33+00:00" 1
0.603604 40.697985 "2022-12-26 08:27:34+00:00" 1
0.603604 40.697985 "2022-12-26 08:27:34+00:00" 1
0.603672 40.697961 "2022-12-26 08:27:35+00:00" 1
0.603672 40.697961 "2022-12-26 08:27:35+00:00" 1
0.603737 40.697939 "2022-12-26 08:27:36+00:00" 1
0.603737 40.697939 "2022-12-26 08:27:36+00:00" 1
0.603801 40.697915 "2022-12-26 08:27:37+00:00" 1
0.603801 40.697915 "2022-12-26 08:27:37+00:00" 1
0.603872 40.697892 "2022-12-26 08:27:38+00:00" 1
0.603872 40.697892 "2022-12-26 08:27:38+00:00" 1
0.603938 40.697871 "2022-12-26 08:27:39+00:00" 1
0.603938 40.697871 "2022-12-26 08:27:39+00:00" 1
0.604003 40.697842 "2022-12-26 08:27:40+00:00" 1
0.604003 40.697842 "2022-12-26 08:27:40+00:00" 1
0.604072 40.697816 "2022-12-26 08:27:41+00:00" 1
0.604072 40.697816 "2022-12-26 08:27:41+00:00" 1
0.604144 40.697793 "2022-12-26 08:27:42+00:00" 1
0.604144 40.697793 "2022-12-26 08:27:42+00:00" 1
0.604212 40.69777 "2022-12-26 08:27:43+00:00" 1
