Name,Class,Latitude,Longitude
Castell d&#8217;Era Castèra,Castells,42.790554,0.691693
Castell d&#8217;Eramprunyà,Castells,41.314117,1.957401
Castell d&#8217;Eroles,Castells,42.172035,0.818452
Castell d&#8217;Escales,Castells,42.248634,2.865782
Castell d&#8217;Esclanyà,Castells,41.92923,3.176558
Castell d&#8217;Esparreguera ,Castells,41.549747,1.870653
Castell d&#8217;Espases,Castells,41.57951,1.884273
Castell d&#8217;Espitlles,Castells,41.316067,1.677577
Castell d&#8217;Espolla ,Castells,42.390186,3.001547
Castell d&#8217;Esponellà ,Castells,42.179157,2.790745
Castell d&#8217;Hortal,Castells,42.302307,2.897574
Castell d&#8217;Hostoles,Castells,42.070187,2.53086
Castell d&#8217;Isanta,Castells,42.096237,1.516821
Castell d&#8217;Odèn ,Castells,42.133423,1.455187
Castell d&#8217;Òdena ,Castells,41.605991,1.639321
Castell d&#8217;Oix ,Castells,42.273582,2.531724
Castell d&#8217;Olèrdola ,Castells,41.303974,1.709718
Castell d&#8217;Oliana ,Castells,42.085419,1.299334
Castell d&#8217;Olivella ,Castells,41.320419,1.813938
Castell d&#8217;Oló,Castells,41.870819,2.034646
Castell d&#8217;Olp,Castells,42.430069,1.1146
Castell d&#8217;Orcau,Castells,42.165916,0.982692
Castell d&#8217;Orpí ,Castells,41.518795,1.575398
Castell d&#8217;Orriols ,Castells,42.125008,2.906983
Castell d&#8217;Orrit,Castells,42.257088,0.742921
Castell d&#8217;Ulldecona ,Castells,40.594955,0.430889
Castell d&#8217;Unha,Castells,42.711132,0.903746
Castell de Bagà ,Castells,42.253452,1.861102
Castell de Balsareny ,Castells,41.87077,1.881441
Castell de Banyeres ,Castells,41.281311,1.578571
Castell de Bar,Castells,42.358334,1.639656
Castell de Barbavella,Castells,42.018894,2.872185
Castell de Barbens ,Castells,41.679085,1.018663
Castell de Barberà,Castells,41.411449,1.227288
Castell de Batea ,Castells,41.095848,0.308781
Castell de Begur ,Castells,41.956371,3.208609
